,time,SW_global,temp,wind,RH,ppt
0,2019-01-01 00:00:00,6183.616,3.848,1.464,85.126,0.0
1,2019-01-01 01:00:00,0.0,3.546,0.875,86.045,0.0
2,2019-01-01 02:00:00,0.0,3.507,0.667,86.54,0.014
3,2019-01-01 03:00:00,0.0,2.902,0.469,90.054,0.005
4,2019-01-01 04:00:00,0.0,2.705,0.295,91.095,0.015
5,2019-01-01 05:00:00,0.0,2.596,0.228,90.963,0.013
6,2019-01-01 06:00:00,0.0,2.515,0.148,91.168,0.006
7,2019-01-01 07:00:00,0.0,2.299,1.051,91.908,0.003
8,2019-01-01 08:00:00,0.0,2.196,1.18,92.048,0.003
9,2019-01-01 09:00:00,0.0,1.942,1.057,93.423,0.002
10,2019-01-01 10:00:00,0.0,1.783,1.064,94.559,0.001
11,2019-01-01 11:00:00,39.512,2.266,1.476,91.506,0.001
12,2019-01-01 12:00:00,271.236,3.982,1.747,76.904,0.001
13,2019-01-01 13:00:00,776.127,5.838,1.522,68.889,0.033
14,2019-01-01 14:00:00,1420.053,7.354,1.206,61.023,0.083
15,2019-01-01 15:00:00,2259.162,8.83,0.838,58.65,0.066
16,2019-01-01 16:00:00,3212.201,9.738,0.936,61.454,0.166
17,2019-01-01 17:00:00,4136.869,10.09,0.704,66.045,0.415
18,2019-01-01 18:00:00,4891.012,8.392,0.682,76.025,2.026
19,2019-01-01 19:00:00,5434.078,7.6,0.68,85.02,1.151
20,2019-01-01 20:00:00,5862.62,7.02,0.818,85.857,1.553
21,2019-01-01 21:00:00,6215.702,6.551,0.973,84.881,0.879
22,2019-01-01 22:00:00,6371.521,5.292,1.111,90.762,1.126
23,2019-01-01 23:00:00,6433.612,4.092,1.261,91.053,0.903
24,2019-01-02 00:00:00,6435.246,3.385,1.471,90.08,1.313
25,2019-01-02 01:00:00,0.0,2.905,0.81,89.717,0.0
26,2019-01-02 02:00:00,0.0,2.556,0.207,89.778,0.587
27,2019-01-02 03:00:00,0.0,2.387,0.33,91.632,0.09
28,2019-01-02 04:00:00,0.0,2.409,0.685,91.502,0.018
29,2019-01-02 05:00:00,0.0,2.382,0.39,91.892,0.007
30,2019-01-02 06:00:00,0.0,2.424,0.455,92.283,0.003
31,2019-01-02 07:00:00,0.0,0.848,0.925,98.489,0.001
32,2019-01-02 08:00:00,0.0,0.086,1.117,98.299,0.0
33,2019-01-02 09:00:00,0.0,-0.193,1.344,97.507,0.001
34,2019-01-02 10:00:00,0.0,0.124,1.597,97.014,0.004
35,2019-01-02 11:00:00,34.313,0.692,1.794,96.586,0.003
36,2019-01-02 12:00:00,193.401,2.166,1.779,97.356,0.005
37,2019-01-02 13:00:00,591.342,4.889,2.059,78.979,0.002
38,2019-01-02 14:00:00,1278.048,7.395,2.187,63.221,0.101
39,2019-01-02 15:00:00,2021.347,8.696,1.301,56.922,0.127
40,2019-01-02 16:00:00,2989.24,9.797,0.99,53.839,0.19
41,2019-01-02 17:00:00,3793.591,10.243,0.606,54.266,0.035
42,2019-01-02 18:00:00,4757.177,10.571,0.616,59.641,0.174
43,2019-01-02 19:00:00,5292.519,7.808,0.65,79.138,1.534
44,2019-01-02 20:00:00,5657.484,6.886,1.844,86.802,1.105
45,2019-01-02 21:00:00,5954.27,6.139,2.356,90.616,1.197
46,2019-01-02 22:00:00,6148.71,5.516,1.901,88.066,0.607
47,2019-01-02 23:00:00,6211.394,4.58,1.29,89.338,0.496
48,2019-01-03 00:00:00,6213.028,4.12,1.16,89.825,0.205
49,2019-01-03 01:00:00,0.0,3.891,0.833,89.822,0.0
50,2019-01-03 02:00:00,0.0,3.639,0.551,90.788,0.055
51,2019-01-03 03:00:00,0.0,3.429,0.489,92.198,0.016
52,2019-01-03 04:00:00,0.0,2.878,0.471,95.036,0.011
53,2019-01-03 05:00:00,0.0,2.549,0.11,95.566,0.007
54,2019-01-03 06:00:00,0.0,1.957,0.539,97.411,0.004
55,2019-01-03 07:00:00,0.0,2.039,0.763,97.81,0.021
56,2019-01-03 08:00:00,0.0,1.845,0.752,98.423,0.005
57,2019-01-03 09:00:00,0.0,1.732,0.764,98.118,0.001
58,2019-01-03 10:00:00,0.0,1.276,0.763,98.834,0.0
59,2019-01-03 11:00:00,36.838,1.732,0.794,95.948,0.0
60,2019-01-03 12:00:00,263.809,3.757,0.589,86.266,0.0
61,2019-01-03 13:00:00,722.652,5.878,0.433,69.307,0.002
62,2019-01-03 14:00:00,1466.843,7.957,0.724,65.091,0.06
63,2019-01-03 15:00:00,2381.114,9.338,1.004,66.298,0.244
64,2019-01-03 16:00:00,3269.538,9.717,1.041,69.678,0.466
65,2019-01-03 17:00:00,3881.973,8.109,1.819,77.812,2.334
66,2019-01-03 18:00:00,4389.389,6.989,1.907,85.799,2.074
67,2019-01-03 19:00:00,4839.172,7.852,2.19,80.971,0.893
68,2019-01-03 20:00:00,5183.342,6.367,2.195,82.433,0.848
69,2019-01-03 21:00:00,5553.802,7.252,2.785,77.651,0.163
70,2019-01-03 22:00:00,5735.914,5.923,2.575,79.036,0.135
71,2019-01-03 23:00:00,5802.906,4.967,2.331,79.739,0.038
72,2019-01-04 00:00:00,5804.838,4.127,2.067,81.9,0.016
73,2019-01-04 01:00:00,0.0,3.495,1.851,81.29,0.0
74,2019-01-04 02:00:00,0.0,3.114,1.67,81.311,0.016
75,2019-01-04 03:00:00,0.0,2.682,1.508,82.764,0.024
76,2019-01-04 04:00:00,0.0,2.313,1.117,84.454,0.029
77,2019-01-04 05:00:00,0.0,2.014,0.862,85.561,0.031
78,2019-01-04 06:00:00,0.0,1.864,0.71,86.171,0.034
79,2019-01-04 07:00:00,0.0,1.999,1.045,85.598,0.098
80,2019-01-04 08:00:00,0.0,1.523,0.783,89.381,0.081
81,2019-01-04 09:00:00,0.0,1.214,0.574,92.238,0.044
82,2019-01-04 10:00:00,0.0,0.983,0.673,95.085,0.06
83,2019-01-04 11:00:00,25.549,1.423,0.521,92.401,0.106
84,2019-01-04 12:00:00,174.833,2.565,0.975,82.9,0.065
85,2019-01-04 13:00:00,516.774,4.367,1.653,72.82,0.07
86,2019-01-04 14:00:00,1025.825,5.83,2.396,65.599,0.129
87,2019-01-04 15:00:00,1667.819,6.823,2.693,62.351,0.176
88,2019-01-04 16:00:00,2442.164,8.001,2.649,63.339,0.098
89,2019-01-04 17:00:00,3301.623,8.772,3.072,65.152,0.195
90,2019-01-04 18:00:00,3948.965,7.459,3.066,70.902,1.805
91,2019-01-04 19:00:00,4686.174,8.72,3.633,60.28,0.338
92,2019-01-04 20:00:00,5179.925,6.342,3.445,66.634,1.442
93,2019-01-04 21:00:00,5478.047,5.539,3.213,67.385,0.468
94,2019-01-04 22:00:00,5603.862,4.889,2.992,66.028,0.04
95,2019-01-04 23:00:00,5663.129,4.078,2.76,69.274,0.009
96,2019-01-05 00:00:00,5665.208,3.221,2.113,75.616,0.001
97,2019-01-05 01:00:00,0.0,2.551,1.598,81.096,0.0
98,2019-01-05 02:00:00,0.0,2.141,1.489,81.607,0.001
99,2019-01-05 03:00:00,0.0,1.842,1.118,81.7,0.001
100,2019-01-05 04:00:00,0.0,1.624,0.907,81.65,0.003
101,2019-01-05 05:00:00,0.0,1.339,0.589,83.089,0.01
102,2019-01-05 06:00:00,0.0,0.784,0.477,87.813,0.005
103,2019-01-05 07:00:00,0.0,0.998,1.115,79.113,0.07
104,2019-01-05 08:00:00,0.0,0.742,0.962,80.015,0.02
105,2019-01-05 09:00:00,0.0,0.501,0.911,80.975,0.037
106,2019-01-05 10:00:00,0.0,0.382,0.82,81.59,0.039
107,2019-01-05 11:00:00,32.827,0.629,0.756,77.67,0.029
108,2019-01-05 12:00:00,236.477,2.263,1.31,62.513,0.05
109,2019-01-05 13:00:00,724.732,4.459,2.117,54.249,0.041
110,2019-01-05 14:00:00,1443.374,6.115,2.383,50.726,0.099
111,2019-01-05 15:00:00,2232.87,7.395,2.694,48.251,0.031
112,2019-01-05 16:00:00,3141.644,8.481,2.732,47.393,0.016
113,2019-01-05 17:00:00,4135.978,9.495,2.765,47.114,0.018
114,2019-01-05 18:00:00,5072.084,9.734,3.157,48.139,0.018
115,2019-01-05 19:00:00,6006.259,9.687,3.611,48.693,0.008
116,2019-01-05 20:00:00,6786.396,8.475,4.159,53.105,0.534
117,2019-01-05 21:00:00,7252.37,6.979,4.173,52.833,0.093
118,2019-01-05 22:00:00,7505.632,5.458,3.676,53.603,0.009
119,2019-01-05 23:00:00,7601.739,3.91,3.112,56.1,0.0
120,2019-01-06 00:00:00,7604.116,2.879,2.589,60.495,0.0
121,2019-01-06 01:00:00,0.0,2.144,2.061,63.309,0.0
122,2019-01-06 02:00:00,0.0,1.63,2.077,64.174,0.0
123,2019-01-06 03:00:00,0.0,1.243,1.673,64.769,0.0
124,2019-01-06 04:00:00,0.0,0.476,1.212,71.127,0.0
125,2019-01-06 05:00:00,0.0,-0.539,0.968,75.099,0.0
126,2019-01-06 06:00:00,0.0,-1.972,0.812,78.137,0.0
127,2019-01-06 07:00:00,0.0,-2.324,0.914,84.617,0.0
128,2019-01-06 08:00:00,0.0,-2.236,1.076,77.484,0.001
129,2019-01-06 09:00:00,0.0,-2.816,0.951,75.518,0.0
130,2019-01-06 10:00:00,0.0,-2.774,0.83,70.168,0.0
131,2019-01-06 11:00:00,42.334,-1.696,0.749,66.292,0.0
132,2019-01-06 12:00:00,300.796,1.855,1.907,43.917,0.0
133,2019-01-06 13:00:00,860.796,4.714,2.839,33.767,0.0
134,2019-01-06 14:00:00,1680.891,6.803,3.39,30.523,0.0
135,2019-01-06 15:00:00,2705.379,8.4,3.742,28.889,0.0
136,2019-01-06 16:00:00,3867.119,9.465,3.965,28.264,0.0
137,2019-01-06 17:00:00,5088.572,10.128,4.596,28.539,0.0
138,2019-01-06 18:00:00,6287.15,10.232,4.918,29.768,0.0
139,2019-01-06 19:00:00,7368.38,10.224,5.13,30.825,0.0
140,2019-01-06 20:00:00,8283.542,9.19,4.853,33.589,0.0
141,2019-01-06 21:00:00,8972.476,8.138,4.523,35.902,0.0
142,2019-01-06 22:00:00,9392.104,6.647,3.999,38.947,0.001
143,2019-01-06 23:00:00,9548.667,4.705,3.017,44.248,0.0
144,2019-01-07 00:00:00,9552.975,2.878,2.268,54.416,0.001
145,2019-01-07 01:00:00,0.0,1.784,1.804,63.427,0.0
146,2019-01-07 02:00:00,0.0,0.544,1.521,73.667,0.0
147,2019-01-07 03:00:00,0.0,-0.181,1.293,77.319,0.0
148,2019-01-07 04:00:00,0.0,-0.765,1.273,79.32,0.0
149,2019-01-07 05:00:00,0.0,-1.367,1.095,78.67,0.0
150,2019-01-07 06:00:00,0.0,-1.618,1.194,72.627,0.0
151,2019-01-07 07:00:00,0.0,-1.773,1.306,65.781,0.001
152,2019-01-07 08:00:00,0.0,-1.855,1.299,58.348,0.0
153,2019-01-07 09:00:00,0.0,-1.853,1.362,51.774,0.0
154,2019-01-07 10:00:00,0.0,-1.483,1.169,44.918,0.001
155,2019-01-07 11:00:00,47.682,-1.015,1.033,42.229,0.0
156,2019-01-07 12:00:00,342.684,2.259,1.829,33.501,0.0
157,2019-01-07 13:00:00,926.451,4.883,2.559,26.856,0.0
158,2019-01-07 14:00:00,1759.023,6.939,2.804,25.077,0.0
159,2019-01-07 15:00:00,2793.018,8.688,2.907,24.236,0.0
160,2019-01-07 16:00:00,3959.066,9.996,2.935,23.59,0.0
161,2019-01-07 17:00:00,5181.262,10.961,3.289,23.203,0.0
162,2019-01-07 18:00:00,6377.908,11.325,3.846,23.935,0.0
163,2019-01-07 19:00:00,7467.16,11.194,4.114,25.201,0.0
164,2019-01-07 20:00:00,8390.344,10.337,4.31,25.704,0.0
165,2019-01-07 21:00:00,9091.457,8.87,4.112,26.45,0.0
166,2019-01-07 22:00:00,9526.683,7.126,3.717,27.258,0.0
167,2019-01-07 23:00:00,9687.998,5.0,3.051,31.165,0.0
168,2019-01-08 00:00:00,9692.454,3.028,2.278,41.062,0.0
169,2019-01-08 01:00:00,0.0,1.753,1.879,48.892,0.0
170,2019-01-08 02:00:00,0.0,0.593,1.581,57.917,0.0
171,2019-01-08 03:00:00,0.0,-0.205,1.205,61.706,0.0
172,2019-01-08 04:00:00,0.0,-0.663,0.989,61.347,0.0
173,2019-01-08 05:00:00,0.0,-0.99,0.78,59.596,0.0
174,2019-01-08 06:00:00,0.0,-1.148,0.755,56.096,0.0
175,2019-01-08 07:00:00,0.0,-1.645,0.71,67.417,0.0
176,2019-01-08 08:00:00,0.0,-1.638,0.724,62.456,0.0
177,2019-01-08 09:00:00,0.0,-1.305,0.729,54.738,0.0
178,2019-01-08 10:00:00,0.0,-0.794,0.527,48.477,0.0
179,2019-01-08 11:00:00,45.305,-0.415,0.263,48.381,0.0
180,2019-01-08 12:00:00,317.729,2.972,0.583,31.987,0.0
181,2019-01-08 13:00:00,868.52,6.081,0.956,27.487,0.0
182,2019-01-08 14:00:00,1664.106,8.103,0.827,29.593,0.0
183,2019-01-08 15:00:00,2670.62,9.562,1.432,31.143,0.0
184,2019-01-08 16:00:00,3821.516,10.785,2.721,30.056,0.016
185,2019-01-08 17:00:00,5009.994,11.347,3.589,29.421,0.047
186,2019-01-08 18:00:00,6161.187,11.375,4.07,29.218,0.015
187,2019-01-08 19:00:00,7153.144,10.703,4.411,28.868,0.005
188,2019-01-08 20:00:00,7961.951,9.648,4.424,30.465,0.003
189,2019-01-08 21:00:00,8444.412,7.891,4.031,32.636,0.0
190,2019-01-08 22:00:00,8774.025,6.417,3.409,33.903,0.001
191,2019-01-08 23:00:00,8886.768,4.768,2.414,37.439,0.0
192,2019-01-09 00:00:00,8890.481,3.469,1.744,45.233,0.0
193,2019-01-09 01:00:00,0.0,2.509,1.611,52.871,0.0
194,2019-01-09 02:00:00,0.0,1.392,1.466,63.053,0.0
195,2019-01-09 03:00:00,0.0,0.561,1.193,69.5,0.0
196,2019-01-09 04:00:00,0.0,0.098,0.943,70.973,0.0
197,2019-01-09 05:00:00,0.0,-0.353,0.826,71.001,0.0
198,2019-01-09 06:00:00,0.0,-0.858,0.912,70.862,0.0
199,2019-01-09 07:00:00,0.0,-0.932,1.111,71.783,0.0
200,2019-01-09 08:00:00,0.0,-1.346,0.911,73.025,0.0
201,2019-01-09 09:00:00,0.0,-1.693,0.646,73.857,0.0
202,2019-01-09 10:00:00,0.0,-1.75,0.57,73.381,0.0
203,2019-01-09 11:00:00,39.363,-1.318,0.52,73.874,0.0
204,2019-01-09 12:00:00,272.424,2.645,1.131,52.824,0.0
205,2019-01-09 13:00:00,770.928,5.603,1.726,46.523,0.0
206,2019-01-09 14:00:00,1488.382,7.721,1.818,41.93,0.0
207,2019-01-09 15:00:00,2411.119,9.275,2.101,41.157,0.0
208,2019-01-09 16:00:00,3473.484,10.482,2.553,40.191,0.0
209,2019-01-09 17:00:00,4605.962,11.293,3.205,36.362,0.02
210,2019-01-09 18:00:00,5647.829,11.055,4.043,35.592,0.073
211,2019-01-09 19:00:00,6449.208,10.373,4.136,38.665,0.006
212,2019-01-09 20:00:00,7106.651,9.096,4.262,44.14,0.016
213,2019-01-09 21:00:00,7642.142,7.628,3.97,50.101,0.001
214,2019-01-09 22:00:00,7979.924,6.145,3.586,54.708,0.0
215,2019-01-09 23:00:00,8106.927,4.408,2.915,62.816,0.0
216,2019-01-10 00:00:00,8111.234,2.782,2.196,75.598,0.0
217,2019-01-10 01:00:00,0.0,1.903,1.842,84.599,0.0
218,2019-01-10 02:00:00,0.0,1.054,1.424,90.702,0.0
219,2019-01-10 03:00:00,0.0,-0.242,0.8,98.577,0.0
220,2019-01-10 04:00:00,0.0,-1.067,0.715,98.716,0.0
