MultiMADD2 N°2023
Measuring site:	MultiMADD2 n° 2023 - UniFR

Timezone:	GMT+01:00
Conductivity:	Compensated at 25°C

Date and time	A1 - Débit	M1 - Wind direction	M2 - Average wind	M3 - Maximum wind	M4 - Air temperature	M5 - Humidity	M6 - Atmospheric pressure	M7 - Rain
2019.11.21 16:20:00	0.00	106	4.3	9.6	6.6	41.1	888.1	0.00
2019.11.21 16:25:00	5.07	106	4.4	11.3	6.5	41.2	888.1	0.00
2019.11.21 16:30:00	11.92	103	4.1	10.3	6.6	39.3	888.0	0.00
2019.11.21 16:35:00	0.00	102	4.5	9.3	6.5	40.4	888.1	0.00
2019.11.21 16:40:00	12.60	109	4.4	7.8	6.3	39.9	888.1	0.00
2019.11.21 16:45:00	12.05	107	4.0	7.6	6.2	39.9	888.1	0.00
2019.11.21 16:50:00	11.73	106	4.5	8.5	6.1	41.0	888.3	0.00
2019.11.21 16:55:00	11.54	118	4.8	9.6	6.1	40.9	888.4	0.00
2019.11.21 17:00:00	11.32	115	5.0	8.8	6.1	41.5	888.5	0.00
2019.11.21 17:05:00	11.24	112	5.2	10.0	6.2	40.3	888.5	0.01
2019.11.21 17:10:00	11.11	118	5.1	8.4	6.3	39.2	888.5	0.00
2019.11.21 17:15:00	11.04	112	4.9	8.2	6.2	41.4	888.6	0.00
2019.11.21 17:20:00	10.94	111	4.9	10.7	6.2	40.9	888.8	0.00
2019.11.21 17:25:00	10.85	104	4.6	10.4	6.3	41.0	888.8	0.00
2019.11.21 17:30:00	10.80	115	6.0	10.7	6.3	40.5	888.8	0.00
2019.11.21 17:35:00	10.77	114	5.1	10.5	6.1	41.3	888.8	0.00
2019.11.21 17:40:00	10.71	112	5.1	9.0	6.1	41.9	888.7	0.00
2019.11.21 17:45:00	10.66	116	5.6	9.8	6.1	42.0	888.7	0.00
2019.11.21 17:50:00	10.62	112	5.0	9.6	6.0	41.3	888.5	0.00
2019.11.21 17:55:00	10.58	117	5.4	11.1	6.1	41.2	888.7	0.00
2019.11.21 18:00:00	10.65	119	5.1	10.0	6.0	41.3	888.7	0.00
2019.11.21 18:05:00	10.64	114	4.9	10.7	6.0	41.3	888.6	0.00
2019.11.21 18:10:00	10.69	112	4.7	8.0	6.0	41.5	888.6	0.00
2019.11.21 18:15:00	10.56	114	5.2	9.0	6.1	40.9	888.6	0.00
2019.11.21 18:20:00	10.53	115	5.2	11.1	6.1	40.4	888.7	0.00
2019.11.21 18:25:00	10.56	117	4.9	8.3	6.1	40.5	888.8	0.00
2019.11.21 18:30:00	10.53	118	4.8	8.8	6.0	41.8	888.9	0.00
2019.11.21 18:35:00	10.47	120	4.9	8.2	6.0	41.9	889.0	0.00
2019.11.21 18:40:00	10.44	116	5.3	9.8	6.1	41.0	888.9	0.00
2019.11.21 18:45:00	10.38	113	5.5	10.9	6.3	41.3	889.1	0.00
2019.11.21 18:50:00	10.47	116	4.4	9.9	6.2	41.5	888.9	0.00
2019.11.21 18:55:00	10.34	113	4.5	8.9	6.1	41.9	889.0	0.00
2019.11.21 19:00:00	10.31	117	5.5	9.4	6.2	42.2	889.0	0.00
2019.11.21 19:05:00	10.38	121	5.8	10.3	6.1	42.2	889.1	0.00
2019.11.21 19:10:00	10.27	111	5.9	10.1	6.1	42.6	889.1	0.00
2019.11.21 19:15:00	10.29	119	5.7	10.2	6.2	43.4	888.9	0.00
2019.11.21 19:20:00	10.31	117	5.6	9.9	6.2	43.1	889.0	0.00
2019.11.21 19:25:00	10.27	119	5.2	9.5	6.2	42.9	888.9	0.00
2019.11.21 19:30:00	10.26	118	5.4	9.0	6.2	43.7	889.1	0.00
2019.11.21 19:35:00	10.27	114	5.3	9.2	6.2	43.7	889.2	0.00
2019.11.21 19:40:00	10.14	115	5.3	8.3	6.2	44.1	889.2	0.00
2019.11.21 19:45:00	0.00	117	4.2	7.4	6.1	43.7	889.2	0.00
2019.11.21 19:50:00	0.00	120	4.5	6.9	6.2	43.9	889.3	0.00
2019.11.21 19:55:00	0.00	110	4.0	7.0	6.2	44.2	889.3	0.00
2019.11.21 20:00:00	0.00	115	3.9	7.6	6.1	44.9	889.2	0.00
2019.11.21 20:05:00	0.00	115	3.9	6.7	6.1	44.8	889.2	0.00
2019.11.21 20:10:00	0.00	116	4.8	8.3	6.3	45.0	889.2	0.00
2019.11.21 20:15:00	0.00	118	5.0	9.2	6.4	44.5	889.3	0.00
2019.11.21 20:20:00	0.00	118	5.3	9.5	6.4	44.6	889.3	0.00
2019.11.21 20:25:00	0.00	121	5.5	8.8	6.4	44.7	889.2	0.00
2019.11.21 20:30:00	0.00	116	4.8	9.6	6.3	45.9	889.1	0.00
2019.11.21 20:35:00	0.00	114	4.9	9.3	6.2	45.5	889.2	0.00
2019.11.21 20:40:00	0.00	113	5.5	10.6	6.4	45.4	889.2	0.00
2019.11.21 20:45:00	0.00	119	4.7	8.0	6.2	46.5	889.2	0.00
2019.11.21 20:50:00	0.00	116	4.8	9.1	6.3	46.1	889.1	0.00
2019.11.21 20:55:00	0.00	116	4.4	8.5	6.2	46.8	889.1	0.00
2019.11.21 21:00:00	0.00	121	4.9	8.9	6.4	46.1	889.1	0.00
2019.11.21 21:05:00	0.00	115	4.8	7.9	6.3	46.5	889.2	0.00
2019.11.21 21:10:00	0.00	114	5.3	8.8	6.4	46.8	889.2	0.00
2019.11.21 21:15:00	0.00	107	4.9	9.0	6.4	47.3	889.1	0.00
2019.11.21 21:20:00	0.00	118	4.8	8.3	6.4	47.4	889.1	0.00
2019.11.21 21:25:00	0.00	113	5.0	9.0	6.5	46.8	889.2	0.00
2019.11.21 21:30:00	0.00	119	4.6	8.0	6.6	46.1	889.3	0.00
2019.11.21 21:35:00	0.00	116	4.2	7.6	6.7	45.4	889.2	0.00
2019.11.21 21:40:00	0.00	115	4.1	8.3	6.6	45.2	889.0	0.00
2019.11.21 21:45:00	0.00	113	4.1	7.5	6.7	45.2	888.9	0.00
2019.11.21 21:50:00	0.00	121	3.5	7.7	6.8	44.8	888.9	0.00
2019.11.21 21:55:00	0.00	113	3.1	7.8	6.9	44.3	888.8	0.00
2019.11.21 22:00:00	0.00	116	3.7	8.7	7.0	44.0	888.8	0.00
2019.11.21 22:05:00	0.00	105	3.5	7.2	7.0	42.7	888.9	0.00
2019.11.21 22:10:00	0.00	116	3.3	7.4	7.0	43.4	888.9	0.00
2019.11.21 22:15:00	0.00	105	3.4	6.9	7.0	43.8	888.8	0.00
2019.11.21 22:20:00	0.00	117	3.7	7.6	7.0	44.4	888.7	0.00
2019.11.21 22:25:00	0.00	104	3.5	8.8	7.1	43.7	888.6	0.00
2019.11.21 22:30:00	0.00	114	3.3	8.4	7.0	44.0	888.5	0.00
